,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
182,Adrar,MR,2021-01-27 12:51:32,20.5022,-10.0711,84.7,12,0,17.83
183,Tucuman,AR,2021-01-27 12:50:22,-26.8241,-65.2226,75.2,73,0,4.61
184,Oxapampa,PE,2021-01-27 12:51:32,-10.5775,-75.4017,60.75,92,100,1.12
185,Mar Del Plata,AR,2021-01-27 12:51:32,-38.0023,-57.5575,72.0,68,20,16.11
186,Fare,PF,2021-01-27 12:51:32,-16.7,-151.0167,80.06,74,3,14.9
187,Khipro,PK,2021-01-27 12:51:33,25.8285,69.3772,62.42,27,0,4.56
188,Coari,BR,2021-01-27 12:51:33,-4.085,-63.1414,75.22,95,98,1.12
189,Tourlaville,FR,2021-01-27 12:51:33,49.6383,-1.5664,50.0,100,90,12.66
190,Rocha,UY,2021-01-27 12:51:33,-34.4833,-54.3333,81.27,64,96,14.03
191,Airai,TL,2021-01-27 12:51:33,-8.9266,125.4092,62.29,100,100,3.02
192,Kenora,CA,2021-01-27 12:48:00,49.8167,-94.4337,-23.01,76,1,2.3
193,Turiacu,BR,2021-01-27 12:51:34,-1.6633,-45.3717,84.52,69,59,4.43
194,Derzhavinsk,KZ,2021-01-27 12:51:34,51.1,66.3167,16.56,97,99,11.01
195,Ellisras,ZA,2021-01-27 12:51:34,-23.6649,27.7443,86.25,48,98,9.69
196,Faanui,PF,2021-01-27 12:51:34,-16.4833,-151.75,79.68,76,0,16.62
197,Muros,ES,2021-01-27 12:51:34,42.7762,-9.0603,60.01,94,100,5.01
198,Bac Lieu,VN,2021-01-27 12:50:25,9.285,105.7244,77.94,80,100,17.05
199,Bonfim,BR,2021-01-27 12:51:35,3.0833,-59.95,78.8,83,20,13.8
200,Jawhar,SO,2021-01-27 12:51:35,2.7809,45.5005,93.04,36,14,21.05
201,El Chichicaste,HN,2021-01-27 12:51:35,14.0667,-86.3,68.04,84,63,1.79
202,Oussouye,SN,2021-01-27 12:51:35,12.485,-16.5469,89.6,20,0,13.8
203,Sturgis,US,2021-01-27 12:51:36,41.7992,-85.4192,17.01,86,1,5.75
204,Hanesti,RO,2021-01-27 12:51:37,47.9167,26.9833,33.01,74,75,16.11
205,Arras,FR,2021-01-27 12:51:37,50.293,2.7819,46.0,98,100,3.0
206,Pangnirtung,CA,2021-01-27 12:51:37,66.1451,-65.7125,-2.2,78,1,3.44
